Date,USDBRL,VIX,Selic,IPCA
2010-01-04,1.724,20.040000915527344,8.65,
2010-01-05,1.7227,19.350000381469727,8.65,
2010-01-06,1.7337,19.15999984741211,8.65,
2010-01-07,1.7413,19.059999465942383,8.65,
2010-01-08,1.739,18.1299991607666,8.65,
2010-01-11,1.7323,17.549999237060547,8.65,
2010-01-12,1.7439,18.25,8.65,
2010-01-13,1.7442,17.850000381469727,8.65,
2010-01-14,1.7648,17.6299991607666,8.65,
2010-01-15,1.7711,17.90999984741211,8.65,
2010-01-18,1.7721,,8.65,
2010-01-19,1.7747,17.579999923706055,8.65,
2010-01-20,1.7854,18.68000030517578,8.65,
2010-01-21,1.7903,22.270000457763672,8.65,
2010-01-22,1.8187,27.309999465942383,8.65,
2010-01-25,1.8194,25.40999984741211,8.65,
2010-01-26,1.8367,24.549999237060547,8.64,
2010-01-27,1.8513,23.139999389648438,8.65,
2010-01-28,1.856,23.729999542236328,8.65,
2010-01-29,1.8748,24.6200008392334,8.65,
2010-02-01,1.8773,22.59000015258789,8.65,
2010-02-02,1.8363,21.479999542236328,8.65,
2010-02-03,1.8337,21.600000381469727,8.65,
2010-02-04,1.8715,26.079999923706055,8.65,
2010-02-05,1.8753,26.110000610351562,8.65,
2010-02-08,1.873,26.510000228881836,8.65,
2010-02-09,1.855,26.0,8.65,
2010-02-10,1.8483,25.399999618530273,8.65,0.75
2010-02-11,1.8516,23.959999084472656,8.65,
2010-02-12,1.867,22.729999542236328,8.65,
2010-02-16,,22.25,,
2010-02-17,1.8313,21.719999313354492,8.65,
2010-02-18,1.8266,20.6299991607666,8.65,
2010-02-19,1.8116,20.020000457763672,8.65,
2010-02-22,1.8046,19.940000534057617,8.65,
2010-02-23,1.8186,21.3700008392334,8.65,
2010-02-24,1.8203,20.270000457763672,8.65,
2010-02-25,1.8364,20.100000381469727,8.65,
2010-02-26,1.811,19.5,8.65,
2010-03-01,1.8,19.260000228881836,8.65,
2010-03-02,1.7851,19.059999465942383,8.65,
2010-03-03,1.7846,18.829999923706055,8.65,
2010-03-04,1.7888,18.719999313354492,8.65,
2010-03-05,1.7824,17.420000076293945,8.65,
2010-03-08,1.7826,17.790000915527344,8.65,
2010-03-09,1.7899,17.920000076293945,8.65,
2010-03-10,1.7716,18.56999969482422,8.65,0.78
2010-03-11,1.7693,18.059999465942383,8.65,
2010-03-12,1.7637,17.579999923706055,8.65,
2010-03-15,1.7644,18.0,8.65,
2010-03-16,1.7666,17.690000534057617,8.65,
2010-03-17,1.764,16.90999984741211,8.65,
2010-03-18,1.7848,16.6200008392334,8.65,
2010-03-19,1.7954,16.969999313354492,8.65,
2010-03-22,1.803,16.8700008392334,8.65,
2010-03-23,1.7813,16.350000381469727,8.65,
2010-03-24,1.7904,17.549999237060547,8.65,
2010-03-25,1.8008,18.399999618530273,8.65,
2010-03-26,1.8231,17.770000457763672,8.65,
2010-03-29,1.8064,17.59000015258789,8.65,
2010-03-30,1.7952,17.1299991607666,8.65,
2010-03-31,1.781,17.59000015258789,8.65,
2010-04-01,1.7701,17.469999313354492,8.65,
2010-04-05,1.7573,17.020000457763672,8.65,
2010-04-06,1.7605,16.229999542236328,8.65,
2010-04-07,1.7662,16.6200008392334,8.65,
2010-04-08,1.7806,16.479999542236328,8.65,
2010-04-09,1.773,16.139999389648438,8.65,
2010-04-10,,,,0.52
2010-04-12,1.7608,15.579999923706055,8.65,
2010-04-13,1.7584,16.200000762939453,8.65,
2010-04-14,1.7446,15.59000015258789,8.65,
2010-04-15,1.7483,15.890000343322754,8.65,
2010-04-16,1.7558,18.360000610351562,8.65,
2010-04-19,1.7588,17.34000015258789,8.65,
2010-04-20,1.7497,15.729999542236328,8.65,
2010-04-21,,16.31999969482422,,
2010-04-22,1.7626,16.469999313354492,8.65,
2010-04-23,1.7624,16.6200008392334,8.64,
2010-04-26,1.7446,17.469999313354492,8.64,
2010-04-27,1.7592,22.809999465942383,8.64,
2010-04-28,1.7558,21.079999923706055,8.64,
2010-04-29,1.7321,18.440000534057617,9.39,
2010-04-30,1.7306,22.049999237060547,9.4,
2010-05-03,1.7315,20.190000534057617,9.4,
2010-05-04,1.7557,23.84000015258789,9.4,
2010-05-05,1.7862,24.90999984741211,9.4,
2010-05-06,1.8353,32.79999923706055,9.4,
2010-05-07,1.8343,40.95000076293945,9.4,
2010-05-10,1.7833,28.84000015258789,9.4,0.57
2010-05-11,1.7843,28.31999969482422,9.4,
2010-05-12,1.7723,25.520000457763672,9.4,
2010-05-13,1.7737,26.68000030517578,9.4,
2010-05-14,1.7967,31.239999771118164,9.4,
2010-05-17,1.8045,30.84000015258789,9.4,
2010-05-18,1.7921,33.54999923706055,9.4,
2010-05-19,1.8366,35.31999969482422,9.4,
2010-05-20,1.8677,45.790000915527344,9.4,
2010-05-21,1.871,40.099998474121094,9.4,
2010-05-24,1.8522,38.31999969482422,9.39,
2010-05-25,1.8811,34.61000061035156,9.4,
2010-05-26,1.8461,35.02000045776367,9.4,
2010-05-27,1.8328,29.68000030517578,9.4,
2010-05-28,1.8229,32.06999969482422,9.39,
2010-05-31,1.8167,,9.39,
2010-06-01,1.8255,35.540000915527344,9.4,
2010-06-02,1.8362,30.170000076293945,9.4,
2010-06-03,,29.459999084472656,,
2010-06-04,1.8401,35.47999954223633,9.4,
2010-06-07,1.8634,36.56999969482422,9.4,
2010-06-08,1.8658,33.70000076293945,9.4,
2010-06-09,1.8423,33.72999954223633,9.4,
2010-06-10,1.8185,30.56999969482422,10.15,0.43
2010-06-11,1.8125,28.790000915527344,10.15,
2010-06-14,1.803,28.579999923706055,10.15,
2010-06-15,1.7971,25.8700008392334,10.15,
2010-06-16,1.7893,25.920000076293945,10.15,
2010-06-17,1.7817,25.049999237060547,10.15,
2010-06-18,1.7761,23.950000762939453,10.15,
2010-06-21,1.7663,24.8799991607666,10.15,
2010-06-22,1.768,27.049999237060547,10.15,
2010-06-23,1.7908,26.90999984741211,10.15,
2010-06-24,1.7907,29.739999771118164,10.15,
2010-06-25,1.7781,28.530000686645508,10.15,
2010-06-28,1.7826,29.0,10.16,
2010-06-29,1.8076,34.130001068115234,10.16,
2010-06-30,1.8015,34.540000915527344,10.16,
2010-07-01,1.8006,32.86000061035156,10.16,
2010-07-02,1.7785,30.1200008392334,10.16,
2010-07-05,1.7755,,10.16,
2010-07-06,1.7665,29.649999618530273,10.16,
2010-07-07,1.7719,26.84000015258789,10.16,
2010-07-08,1.7652,25.709999084472656,10.16,
2010-07-09,1.7572,24.979999542236328,10.16,
2010-07-10,,,,0.0
2010-07-12,1.7644,24.43000030517578,10.16,
2010-07-13,1.7525,24.559999465942383,10.16,
2010-07-14,1.7657,24.889999389648438,10.16,
2010-07-15,1.769,25.139999389648438,10.16,
2010-07-16,1.7792,26.25,10.16,
2010-07-19,1.7854,25.969999313354492,10.16,
2010-07-20,1.78,23.93000030517578,10.16,
2010-07-21,1.7766,25.639999389648438,10.16,
2010-07-22,1.7629,24.6299991607666,10.66,
2010-07-23,1.7617,23.469999313354492,10.66,
2010-07-26,1.7669,22.729999542236328,10.66,
2010-07-27,1.7658,23.190000534057617,10.66,
2010-07-28,1.765,24.25,10.66,
2010-07-29,1.7643,24.1299991607666,10.66,
2010-07-30,1.7572,23.5,10.66,
2010-08-02,1.7489,22.010000228881836,10.66,
2010-08-03,1.7594,22.6299991607666,10.66,
2010-08-04,1.7563,22.209999084472656,10.66,
2010-08-05,1.7535,22.100000381469727,10.66,
2010-08-06,1.7566,21.739999771118164,10.66,
2010-08-09,1.7537,22.139999389648438,10.66,
2010-08-10,1.7576,22.3700008392334,10.66,0.01
2010-08-11,1.7663,25.389999389648438,10.66,
2010-08-12,1.7731,25.729999542236328,10.66,
2010-08-13,1.7716,26.239999771118164,10.66,
2010-08-16,1.7639,26.100000381469727,10.66,
2010-08-17,1.7528,24.329999923706055,10.66,
2010-08-18,1.7513,24.59000015258789,10.66,
2010-08-19,1.7584,26.440000534057617,10.66,
2010-08-20,1.7597,25.489999771118164,10.66,
2010-08-23,1.7587,25.65999984741211,10.66,
2010-08-24,1.7727,27.459999084472656,10.66,
2010-08-25,1.7668,26.700000762939453,10.66,
2010-08-26,1.7596,27.3700008392334,10.66,
2010-08-27,1.7544,24.450000762939453,10.66,
2010-08-30,1.7591,27.209999084472656,10.66,
2010-08-31,1.756,26.049999237060547,10.66,
2010-09-01,1.7441,23.889999389648438,10.66,
2010-09-02,1.7367,23.190000534057617,10.66,
2010-09-03,1.7281,21.309999465942383,10.66,
2010-09-06,1.7259,,10.66,
2010-09-07,,23.799999237060547,,
2010-09-08,1.7231,23.25,10.66,
2010-09-09,1.7238,22.809999465942383,10.66,
2010-09-10,1.7186,21.989999771118164,10.66,0.04
2010-09-13,1.7174,21.209999084472656,10.66,
2010-09-14,1.7076,21.559999465942383,10.66,
2010-09-15,1.7169,22.100000381469727,10.66,
2010-09-16,1.7184,21.719999313354492,10.66,
2010-09-17,1.7166,22.010000228881836,10.66,
2010-09-20,1.7216,21.5,10.66,
2010-09-21,1.7255,22.350000381469727,10.66,
2010-09-22,1.7184,22.510000228881836,10.66,
2010-09-23,1.7194,23.8700008392334,10.66,
2010-09-24,1.712,21.709999084472656,10.66,
